n12917054,佛州通过新选举法 限制邮寄投票和投递箱
n13666102,20位国会议员致信总统 吁援助乌克兰民众
n13663299,【方菲访谈】程晓农：俄乌战争两大背后因素
n13666253,退出中国？俄罗斯危机让投资人提前避险
n13665816,【新闻看点】东航坠机3大疑点 业界趋向2种可能
n13667607,拜登访欧将祭新措施 或制裁三百多俄议员
n13667684,俄罗斯称不排除使用核武 美国防部回应
n13667944,美英达成钢铁贸易协议 联手钳制中共
n13668039,普京：欧盟购买俄天然气 须用卢布付款
n13668125,北约：中共明目张胆撒谎以支持俄罗斯
n13668285,洛杉矶市议考虑23日取消COVID疫苗令
n13668421,美政府正式指控俄罗斯在乌克兰犯下战争罪
n13668494,美：中企若违反管制令对俄出口芯片 将受重罚
n13668537,【远见快评】俄乌战局逆转 传白俄升级参战
n13668548,【秦鹏直播】东航黑匣子找到 距真相还有多远
n13668655,洛杉矶市长候选人辩论 回答热点问题
n13668319,王友群：美国对中共最新制裁的三重意义
n13668589,拜登提名的非裔女大法官：无法定义女性一词
n13668482,分析：中共批评北约东扩背后的目的和焦虑
n13668744,美俄最高军事指挥官过去一个月未通话
n13669107,纽约中华公所主席 支持州长修改保释法改革
n13669104,修改保释法改革 纽约州长发社论博取认同
n13665980,【新闻看点】俄威胁核攻击 北约警告:不可接受
n13669518,印度购数百万桶俄原油 拜登指责印抗俄不力
n13668412,【有冇搞错】中共升级为美国最大威胁 没有之一
n13670269,美秘密部署“老虎队” 防俄罗斯动用核武
n13670597,北约峰会：加强全方位防御 点名中共莫骑墙
n13670495,拜登参加北约闭门峰会 拟向乌提供反舰导弹
n13670683,英对俄新制裁 专门针对关键战略行业和个人
n13670247,【微视频】日本试探通过乌俄战争收回北方四岛
n13670727,乌军称炸毁俄史诗级舰艇 火球盘旋浓烟翻滚
n13670755,三家俄方合作商被美制裁 阿里速卖通陷尴尬
n13670781,拜登：已确保让习近平理解援俄后果
n13670949,公产收益据己有 新泽西大洋门市长面临盗窃指控
n13671102,【拍案惊奇】飞机坠毁前近音速 党媒未否定劫机
n13671122,美将接收10万乌克兰难民 并向乌提供更广泛援助
n13671115,【秦鹏直播】中共再炒美造病毒 华大高管斥没逻辑
n13670312,【新闻看点】撞机坑深20米 家属哭声撕心裂肺
n13671005,违反《不扩散法》 中俄朝实体和个人被美制裁
n13671275,加州新法案 将允许雇员在紧急状态下不上班
n13671349,众议员基利：关注加州激进医疗相关8提案
n13671253,消息：美情报评估俄罗斯导弹故障率达60%
n13670665,拜登访欧聚焦俄乌战 专家驳中俄北约东扩论
n13671516,盗窃重罪门槛拟降回400美元 加州提案未通过
n13671646,玛丽奥举办亚裔圆桌会 聚焦重修保释法
n13671622,运动员艺人疫苗令豁免引争议 市长要挨告
n13671654,即日生效 纽约市运动选手不需强制打疫苗
n13671205,【横河观点】北约峰会应对战争 谴俄援乌批中共
n13672763,【更新3.25】美欧达能源协议 减少对俄依赖
n13672767,拜登：俄乌战争 全球粮食短缺将成为现实
n13670996,“隐形”Omicron 已成新泽西州主要变种病毒
n13673347,美官员：北京企图在俄和西方国家间左右逢源
n13673428,戴琪：美国不会拖延 会更积极向北京施压
n13673419,拜登访波兰 将俄入侵乌克兰比做天安门事件
n13673332,【远见快评】黑匣乌龙藏隐情 党媒再炒美造病毒
n13673423,【秦鹏直播】乌龙还是掩盖？第2黑匣子下落成谜
n13673766,降汽油税 霍楚证实纳入预算协商
n13673813,纽约市户外用餐永久化搁浅 州最高法院喊停
n13673406,【新闻看点】传中南海附近失火 微博删帖屏蔽
n13674872,拜登告诉波兰总统：你们的自由就是我们的
n13674703,【名家专栏】中共将自己装扮成和平使者
n13675164,俄乌战后 攻击北约国家的中国IP数激增116%
n13675173,助乌军抗俄 美陆军绿色贝雷帽起到何种作用
n13674635,【菁英论坛】六四领袖被刺杀 FBI盯上中共间谍
n13674505,【拍案惊奇】台湾知道怎么防了？乌只示范一次
n13675292,美将关闭一移民拘留中心 削减另外三个规模
n13675351,【横河观点】乌克兰抗俄给台湾的借鉴与启示
n13675403,官媒大炒病毒系美造 大陆专家揭底：张冠李戴
n13676260,拜登访欧五要点：从安全、难民、能源到粮食
n13676259,英首相与习通话 分析：对俄乌战争难达共识
n13675763,报告：中共歪曲联合国决议孤立台湾 美需反击
n13634492,【思想领袖】如何对抗大科企极权主义
n13677190,加州橙县初选答辩会 12位共和党参选人出席
n13677461,中期选举初选 纽约人如何注册
n13677537,亚潮萌纽约民选官竞选论坛 聚焦教育治安
n13678670,聚焦南海 美国菲律宾举行大规模军演
n13678934,【微视频】上海防疫换帅 封城加码始末
n13679355,拜登2023预算 增款对抗中俄 加征富人税
n13679550,拜登2023巨额国防预算 将投资哪些武器
n13679596,【远见快评】传普京重大让步 乌克兰中立秘辛
n13679009,【秦鹏直播】为李莹发声险被抓 王圣强：不怕消失
n13679662,拜登新预算提148亿社会保障金 将有哪些变化
n13679744,中共与索罗门密商军事合作 澳纽“严正关切”
n13680167,纽约市七成私企员工认地铁不安全 影响返工
n13680249,纽约消防员因疫苗令失业 要求市长恢复其工作
n13680079,纽约市华社联署撑修改保释法 还差两百人
n13680082,民调：逾六成纽约选民指现存保释法损害治安
n13679601,【新闻看点】上海封控混乱 传阳性病例不通报
n13681136,美参议院通过中国竞争法案 提振半导体产业
n13681578,油价高涨 加州应减税还是发钱
n13681601,消息：驻波兰美军指导乌克兰使用西方武器
n13681629,经营亏损股价暴跌 传京东、B站和有赞大幅裁员
n13681750,美印将在4月11日举行首次二加二高层会晤
n13681819,【秦鹏直播】蓬佩奥：中共是美国的“敌人”
n13681321,【直播】美议员斯科特圆桌会：中共威胁全球
n13681839,【横河观点】张文宏被官取代 上海疫情政治角力
n13681422,【热点互动】前太空军中校：美军中的共产渗透
n13681927,比“富人税”影响更大的美国遗产税税改
n13682136,纽森发政令 吁实施更严厉节水措施
n13681776,协助调查东航空难 美方人员获发中国签证
n13682322,民调：若中共援俄国 多数美国人支持制裁它
n13682069,女法轮功学员被迫害致死 美议员谴责中共
n13682512,五角大楼新国防战略：视中共为头号威胁
n13681738,【新闻看点】上海封城放弃检测？次生灾害频发
n13682531,卢比奥：中共是当今美国面临的最大威胁
n13683899,美大科技公司助力 俄将领伤亡惨重
n13684156,跨大西洋数据存储 美国与欧盟达成框架协议
n13684167,戴琪：美国必须加强对中国的贸易防御
n13684178,美赠乌克兰百架弹簧刀无人机 将很快到位
n13684447,【远见快评】孙春兰回避上海？高层内斗正酣
n13684518,专家：美需摆脱依赖中国 确保经济和国家安全
n13684435,【秦鹏直播】中国2大天花板崩塌 张文宏被免官？
n13684494,中共特务招纽约执法者在美“猎狐” 被起诉
n13684479,洛杉矶市议会取消COVID-19疫苗护照令
n13654193,【思想领袖】美国政策如何姑息中共罪行
n13684974,“掸掉灰尘 重塑加州”州长候选人访谈（一）
n13684412,【新闻看点】官方承认失控 上海疫情“辣眼睛”
n13684534,消息：美将终止疫情期间限制移民入境禁令
n13685064,AB1993加州就业疫苗接种提案被搁置
n13686676,发展再生能源 新泽西仅存两家燃煤发电厂将关闭
n13686959,白宫宣布史上最大石油储备释放计划
n13686590,【微视频】上海封城一锅端 清零政治运动内幕
n13686907,中共招募英文“网红” 在美进行大外宣
n13687259,加州提案被否决 拥枪父母不用知会学校
n13687341,大批移民在边境等待美取消疫情相关驱逐令
n13687563,加州州长候选人访谈（二）“两年解决无家可归问题”
n13687304,【横河观点】酷吏傅政华双开 直指后台老板？
n13687784,美国会CECC年度报告：中共严重侵犯人权
n13687900,保释改革修法卡关 纽约州预算谈判推迟
n13687903,纽约州法官否决新选区地图
n13687289,【新闻看点】上海清零乱象 市民被隔离进殡仪馆
n13686979,因申请信息公开 新泽西州82岁老妇被市府起诉
n13689617,罕见让步 北京拟允许美查看中概股审计报告
n13688941,【秦鹏直播】乌克兰反攻开始？欧盟警告北京
n13689765,【远见快评】傅政华双开通报 3大谜团全解析
n13689747,白宫发言人普萨基回应离职传闻
n13689995,加州州长候选人访谈（三） 改善住房 改革警制
n13689844,美众院投票通过联邦大麻合法化法案
n13690217,史岛法官撤销幼童口罩令 市长：计划上诉
n13690157,纽约市议会议长和新泽西州长确诊新冠
n13690038,美取消洲际导弹试验 以降低与俄核对峙紧张度
n13690243,公交线路重新设计 法拉盛5月10日公听
n13689428,【军事热点】美国新国防战略 中共位居威胁之首
n13691112,东航失事班机一黑匣子在美实验室下载数据
n13691287,英美同日发表报告 批中共加剧蚕食香港民主自由
n13691236,美商务部官员：对中国技术出口限制不会放松
n13691316,美国会CECC年度报告 关注法轮功学员被迫害
n13691255,【拍案惊奇】传中共深改办易主 王沪宁丢两权
n13691014,【菁英论坛】俄乌战后新格局 全球化变半球化
n13684986,美中对比 美前海军上将揭中共军队一大弱点
n13691440,【新闻看点】录音被查删 上海疾控官员说啥？
n13693038,俄乌战 美英罕见频繁公开情报的背后考量
n13693164,布林肯：俄对乌发动战争 三个目标全失败
n13693276,州长签署SB245 加州人将为堕胎者付费
n13681359,【思想领袖】美国政策如何姑息中共罪行（中）
n13693593,法官裁定：加州公司董事会多元配额法违宪
n13695506,巴基斯坦政治动荡对中印等国意味着什么？
n13695157,【微视频】新“淞沪会战”？各省分区占领上海
n13695791,白宫：俄可能改变策略 向乌东重新部署兵力
n13695835,拜登政府启动新的网络安全机构
n13695858,【远见快评】两份录音揭防疫黑幕 上海被军管？
n13695870,【秦鹏直播】立陶宛驱逐俄大使 美战前情报犯错
n13696112,AB2223“生殖健康”提案或促加州杀婴合法化
n13696272,挑战金映玉 民主党人已筹140万竞选资金
n13695848,五角大楼：乌克兰实验室没有进攻性生物武器
n13696449,州预算计划仍无结果 但州府公务员可开工资
n13696341,纽约州府营运新冠疫苗点 开放接种第二剂加强针
n13696331,纽约州选区重划地图暂保留 7日办听证会
n13695208,【新闻看点】染疫才可陪孩子 上海网络哀鸿遍野
n13696102,美参院全院将表决拜登提名的大法官人选
n13695270,【军事热点】杜鲁门号航母延长在地中海的部署
n13697261,3月 美B-52轰炸机成功测试高超音速导弹
n13697598,美英澳承诺在高超音速武器及电子战方面合作
n13697751,美制裁俄罗斯暗网市场和加密币交易所
n13697229,王毅同乌外长通电话 欧盟：中共在走平衡木
n13697871,五角大楼将供给乌克兰“坦克杀手”无人机
n13697895,【秦鹏直播】俄步入朝鲜化悬崖 普京结局堪忧
n13697878,白宫：俄乌战争将持续数月甚至更长时间
n13697939,【横河观点】次生灾害超病毒 上海清零难实现
n13698095,林郑宣布不竞逐连任特首
n13697188,【方菲访谈】程晓农：俄乌危机带来世界巨变
n13698162,罢免贾斯康签名破20万 民间筹400万资金
n13698250,分析：允美查阅中企审计报告 北京为何让步
n13697830,【新闻看点】上海防疫涉政治占位 知情人泄真相
n13698502,纽约社安局各地办事处7日起 恢复面对面办公
n13698505,法拉盛公车道问题 交通局长：考虑如何改进
n13699521,分析：上海封锁或毁中国经济 撕裂全球供应链
n13699744,普京监控粮食出口到敌对国家 责怪西方制裁
n13700073,施压奏效 上海允许部分父母陪伴染疫儿童
n13700138,美国制裁普京两个女儿和俄联邦储蓄银行
n13700244,耶伦：中共若入侵台湾 美国将施以制裁
n13700293,针对严苛疫情管控 美大使馆向中方表示关切
n13700268,美财长：禁止俄罗斯石油出口将使油价暴涨
n13700434,警告中共勿攻台 美副卿：西方联手制俄是教训
n13700579,对新变种BA.2无效 一款COVID药被美停用
n13700549,【远见快评】4大影响改变世界 布查惨案凶手？
n13700570,【秦鹏直播】美国制裁普京女儿 对俄什么影响
n13681370,【思想领袖】美国政策如何姑息中共罪行（下）
n13701286,不满惯犯抓了放 华埠警民会现改革保释法声音
n13700454,【新闻看点】上海乱象百出 宝山居民呐喊要生存
n13700402,【时事军事】中共昼夜军演 摸不到美军脉络
n13702036,俄乌战争之际 美公司指中共黑客暗中操纵
n13702282,佩洛西或访问台湾 中共跳脚
n13702447,【微视频】上海清零政治秀 你看明白了吗？
n13702546,上海有社区食物中断 居民挨饿 出现黑市
n13702844,洛县警长维拉纽瓦竞选连任 回答媒体提问
n13702853,美参院确认杰克逊入最高院 首位非裔女大法官
n13702410,分析：中共在俄乌战上找平衡 避免踩美欧红线
n13702270,【十字路口】布恰惨案震惊世界 美要出兵参战？
n13703032,【秦鹏直播】俄被踢出人权理事会 北约剑指中共
n13703186,【横河观点】布恰惨案观察 回顾俄屠杀平民历史
n13703531,“人民车队”周末将抵达洛杉矶市中心
n13702782,【新闻看点】大陆疫情严峻 医学博士撕防疫黑幕
n13703905,街头露营车为患 洛市决议拖吊问题车
n13703773,纽约州预算案达协议 保释法将修订
n13704477,北约称面临严峻挑战 首次把中共列入战略考量
n13702703,【军事热点】海军陆战队测试闪电航母概念
n13704721,【十字路口】佩洛西出访台湾突变卦 中共怕啥？
n13705418,粮食危机加剧 全球食品价格3月创历史新高
n13705565,白宫：美政府正密切关注上海封锁
n13705644,【远见快评】亚太4国“入”北约 党媒又抓狂？
n13705628,【秦鹏直播】扛不住了？ 钟南山：建议异种疫苗
n13705580,涉嫌假特工事件 四名特工遭美国特勤局停职
n13706265,记者手记：纽约州议会“中国日”与中共统战
n13706493,州预算案达成协议 纽约加建三赌场
n13706450,上诉庭法官裁定 初选日不变 暂保留选区地图
n13707124,中共任意执行防疫限制 美吁国民避开上海吉林
n13707038,中共继续清零 美国让上海领馆部分人员离开
n13707386,担心美国推翻共产政权 中共加速发展核武
n13707526,拜登签署法案：美终止与俄正常贸易关系
n13707317,【菁英论坛】俄乌打新一代战争 美强化印太战略
n13707718,北京曾聘美国有影响力知名人士为冬奥会造势
n13708301,全球粮荒和能源价飙升 引发更多政治动荡
n13707414,【时事军事】高超音速核弹 美中俄核恐怖怎么平衡
n13708361,上海封城乱象多 美发旅行警告 中共跳脚
n13708430,专家：美民主党要继续控制参议院 面临困难
n13708474,间谍案频发 美专家：凸显美国移民筛查弱点
n13672867,【思想领袖】软极权主义正席卷西方世界
n13708535,媒体人：文化战是民主党中期选举的真正问题
n13708766,霍楚任内首次突围 议会通过两千亿预算案
n13708832,对抗中共影响力 美国高层官员将访问所罗门
n13709050,拜登将提名新ATF负责人 宣布枪支改革计划
n13709107,美国超中国 多城登“全球最繁忙机场”榜
n13709351,上海被封控后 477货柜船拥堵在华东港口
n13709344,蓬佩奥今秋将出书 讲述任职国务卿岁月
n13709316,美中期选举临近 通胀将影响关键州选民投票
n13709380,拜登和莫迪对话 敦促印度不要购买俄产品
n13709453,报告：纽约、加州抗疫措施最失败 佛州最佳
n13709379,望政府倾听民声 洛杉矶举行“击败强制令”集会
n13709424,【远见快评】清零是科学？暗藏两大陷阱
n13709476,【秦鹏直播】上海书记被骂戏精 李克强现蹊跷事
n13709244,【微视频】居民自救到自治 上海自治组被取缔
n13709561,乔州州务卿：1634人违法登记投票遭调查
n13709586,曼哈顿地检宣布 扩编仇恨犯罪小组团队
n13709373,美国下令驻上海领馆所有非紧急人员撤离
n13709614,NYPD前局长：治安恶化是左派导致
n13709610,拜登颁新规打击“幽灵枪”纽约首长欢迎
n13709620,不愿纽约华埠监狱动工 社区力倡旧址翻新
n13709449,【新闻看点】传孙春兰发火 “咬紧牙关”推清零
n13709726,报告：关键矿物需求大增 美国恐依赖外国进口
n13709898,与中国忠旺串谋诈骗 美多家公司被罚巨款
n13710087,美强制上海领馆部分员工撤离 赵立坚再跳脚
n13710096,林肯号核动力航母接连现身南海日本海
n13710128,“企图控制文化” 中共去年捐美国高校1.2亿
n13710134,美贸易代表：美印论坛可助扩大贸易 减少壁垒
n13710181,尹锡悦访驻韩美军基地 中共大使施压萨德问题
n13710204,【秦鹏直播】上海庆祝会被骂 官员儿子赚三千万
n13710206,【横河观点】上海疫情次生灾害 高管名人也难逃
n13710191,五角大楼：中俄正开发可打击美国卫星武器
n13710353,美智库：中共海军借国际造船订单推现代化
n13710150,【新闻看点】上海拉垮全国防疫 专家归责北京？
n13710516,助朝鲜规避制裁 美加密货币专家被判刑5年
n13710659,炒饭泡菜拉面成本飙升 亚洲餐馆和食客犯愁
n13710867,纽约地铁枪案目击者：嫌犯坐我对面 自言自语
n13710689,拜登称俄军对乌策划“种族灭绝” 克宫反驳
n13710898,耶伦对中俄结盟发警告 暗示北京或面临后果
n13710903,美国人权报告：中共滥用法律迫害法轮功学员
n13710957,拜登宣布对乌8亿美元援助 普京制裁美加议员
n13710964,涉转让关键技术给华为中芯 传新思科技被查
n13711018,【远见快评】传受邀加入AUKUS 日本一夜武装？
n13710856,【秦鹏直播】上海封城代价高昂 习推统一大市场
n13709412,【思想领袖】愿为真理付代价 抵制极权主义
n13711192,洛市市长候选人要求参加CSULA辩论会
n13711001,【拍案惊奇】上海小区夜半现哀嚎 美领馆撤离
n13711246,纽约副州长辞职 恐冲击民主党选情
n13711013,【新闻看点】习近平妥协？官媒讳言隔离松动
n13710975,【时事军事】F-22退役  J-20祸福难料
n13711640,【名家专栏】新型高超音速导弹对抗中共
n13711590,拜登延续川普抗共路线 中共恐吓加利诱失效
n13711757,德州派车将非法移民运往DC 美边境争议扩大
n13711588,UN报告：俄乌战引发多重危机 穷国陷困境
n13711826,美欧驻华商界发声 对上海清零强烈不满
n13711860,美共和党全国委员会投票退出总统辩论委员会
n13711862,CIA局长：中共是最大挑战 美需积极迎战
n13711922,【秦鹏直播】430亿求购遭拒绝 马斯克掀世纪并购
n13711954,绑架杀害四名美国人 ISIS“披头士”被定罪
n13711949,【横河观点】李克强为何不戴口罩 权斗公开化？
n13711964,CIA局长：美国不能轻视俄使用核武的可能性
n13712088,专家：对中共盗窃知识产权 不能只靠国安工具
n13711926,亚当斯扩大天才班 增加1100个名额
n13712225,美国防官员谈乌克兰在战场上取胜的因素
n13712338,布林肯：中共必须在俄乌问题上选边站
n13711686,【新闻看点】习要求严控拔根？高端社区被镇压
n13712380,美议员访台之际 中共军队在台湾周边军演
n13712540,俄乌战争促美推印太经济框架 中共无资格参加
n13712532,美指朝鲜黑客盗6.15亿加密币 宣布新制裁
n13712652,边境争议升温 德州三巴士载非法移民抵首都
n13712672,华盛顿州取消学校COVID-19疫苗令
n13712496,【微视频】“乌东决战”打不打是个问题
n13712736,【远见快评】“莫斯科”舰沉没 战争拐点到来？
n13712759,贾西迪最后咨文 为游民和气候变化做预算
n13712739,【秦鹏直播】莫斯科号沉没之谜 俄国运将逆转？
n13712780,州长候选人：“加州是我的家 值得一战”
n13712693,【方菲访谈】法内尔：警惕中俄联手威胁世界
n13712858,2022年初选介绍（1）国会参议员
n13712715,【新闻看点】上海防疫乱象 李强击败孙春兰？
n13713168,美回应俄外交照会：军援乌克兰 无人能阻
n13713328,美澳力阻中共军事扩张 聚焦所罗门群岛
n13713313,白宫将首现柱廊彩蛋 美农民赠第一夫人蛋
n13713359,【菁英论坛】上海封城遍地灾 中共铁拳砸醒民众
n13713405,美国四州宣布更严格堕胎禁令
n13713412,【横河观点】孙春兰李强推责？上海释矛盾信息
n13713327,美福特号航母装载54万磅弹药 释何威慑信号
n13713735,拒称男学生为女性 美教授赢官司获赔40万
n13713296,分析：七大原因 中共全面侵台有多难
n13713766,外国人被困上海 想回国要闯三关才能到机场
n13713928,美日联合军演威慑 金正恩太阳节一反常态未阅兵
n13713906,民调：拉美裔美国人对拜登的支持率大幅下降
n13714094,加州副州长候选人：改变加州从立法开始
n13709413,【思想领袖】德瑞尔：不靠谎言活着（下）
n13714535,“从没想过吃不饱” 上海富人拟加速移民海外
n13714603,“清零”造成多大影响 专家：全球市场低估危害
n13714639,【微视频】京东发动“自杀式”物流 遭上海封锁
n13714693,不想回办公室？美国上班族担心通勤费用
n13714628,忧中共渗透太平洋岛国 美高官将访所罗门群岛
n13714715,面对中共喉舌战狼谩骂 格雷厄姆幽默回应
n13714691,为大选筹备 民主党计划招募数千选举管理员
n13714779,【远见快评】传即将宣布清零 上海谁是赢家？
n13714790,法官裁决后 美政府取消飞机等公交口罩令
n13714783,【秦鹏直播】京东大部队遭打击 红三代也不灵？
n13714795,美最高法院驳回四州对SALT税收减免限额上诉
n13714811,华府智库总裁：美须解决大公司亲共问题
n13714941,美国停止测试反卫星导弹 推国际太空新规范
n13715032,美墨边境3月拦截非法移民超22万 创新高
n13715075,州长保证不再封城 市长称暂不重启口罩令
n13715068,联邦高院不受理纽约市教师疫苗令诉讼
n13714788,【新闻看点】上海下军令清零？再批“共存”论
n13715190,【军事热点】福特接手尼米兹 主导21世纪海洋
n13715407,网络专家：英国政府或遭到间谍软件袭击
n13715301,回应推特毒丸计划 马斯克有三招可用
n13715406,美3月新屋开工量意外升至2006年来最高
n13715535,中共与所罗门群岛签安全协议 美澳回应
n13715517,俄乌战进入新阶段 美英加承诺给乌更多武器
n13715594,【秦鹏直播】王思聪拒检被禁言 钟南山反清零？
n13715610,【横河观点】上海清零大限将至 疯狂乱象频现
n13715636,消息：拜登告诉奥巴马计划在2024竞选连任
n13715671,专家警告不要低估中共扩充核武库的威胁
n13715768,中国留学生言论威胁美国  留美梦碎？推友热议
n13714942,【新闻看点】上海乱象频发 传核酸检测不准确
n13716080,【名家专栏】研究表明疫情封锁无效 有害无益
n13715993,调查：中国民众反美拥俄 是受中共洗脑宣传
n13716211,【拍案惊奇】想不到上海“造反”中共国歌被封
n13716267,美中防长首次通话 双方声明透露何种信息
n13716260,俄罗斯试射新洲际弹道导弹 美方：不担心
n13716233,收购推特风波未平 马斯克又发神秘推文
n13716026,州长德桑蒂斯推动立法 终结迪士尼在佛州特权
n13716298,【秦鹏直播】上海人拜跑路天后 张爱玲的饥饿故事
n13716380,【远见快评】乌东开战3走向 马里乌波尔危急
n13662670,【思想领袖】无症状传播 或是疫情中最大谬误
n13716323,美国大麻行业遇寒冬 合法化前景不明
n13716552,在民众反对声中 支持堕胎提案AB2223再过关
n13716584,社区领袖吁民主党人就“嘲笑”国会议员口音道歉
n13716588,律师洛萨诺正式宣布竞选加州州长
n13716568,美司法部对取消公交口罩令裁决提出上诉
n13716536,佛州州长推出新国会地图 州参议院通过
n13716623,美中官员就新疆人权互怼 当事人戳穿中共谎言
n13716634,州长：“短期内”公交上还需戴口罩
n13716638,联邦插手管雷克岛监狱 官方无头绪但民间看好
n13716385,【新闻看点】外松内紧仍封控 上海人舌战村书记
n13716869,美欧等代表离场抗议俄 G20放弃联合声明
n13717045,佛州参议院通过法案 结束迪士尼世界自治地位
n13717073,拜登宣布对乌新援助 质疑马里乌波尔沦陷
n13717068,马斯克获465亿美元资金承诺 以收购推特
n13717229,马斯克若掌控推特 对言论自由带来何种影响
n13716189,专家谈美中俄关系：中共的敌人是自己
n13717244,【秦鹏直播】俄一天2场大火 中共怕制裁拒合作
n13717356,洛县警长：县府2022-23预算削减警察资金
n13717246,新思科技涉助华为关键技术 专家：中共背后推动
n13717395,强制飞行员打疫苗 或使乘客处于飞行危险中
n13717422,人民车队在沙加缅度抗议疫苗令和AB2223堕胎法案
n13717466,全国家长党 力挺五位纽约民主党参选人
n13717463,纽约市获逾2亿和解金 应对阿片类药物危机
n13717213,【新闻看点】孙春兰再放话 传江南船厂疫情严重
n13717718,忧中共破坏太平洋稳定 白宫高官访所罗门
n13717248,迪士尼自治权被佛州法案终结 股价暴跌
n13717854,中共封城抗疫 吓跑了一半欧洲侨民
n13717836,美国人涉杀人在中国被判死刑 美使馆回应
n13717877,【微视频】南昌封城谣言成真 春耕责任谁之过？
n13717868,美18议员要求推特：保留马斯克收购相关记录
n13717915,【拍案惊奇】封城还要断网？东航报告透露信息
n13717956,佛州州长签署法案 解除迪士尼自治特权
n13717961,白宫：中共若在所罗门军事扩张 美将回击
n13717967,俄军王牌遭摧毁 分析：中共军队会否重蹈覆辙？
n13718019,【远见快评】上海封控权斗激烈 知乎热文藏陷阱
n13717969,美议员：寻求自由的法轮功学员给数百万人勇气
n13718036,【秦鹏直播】中国网民怒接力《四月之声》火爆
n13718276,法拉盛社区造势大会 支持州长霍楚竞选连任
n13718246,纽约州上诉部门法官 撤销国会选区地图
n13717941,【新闻看点】上海封控升级 无“阳性”区续封禁
n13718686,边境争议持续升温 德州起诉拜登政府
n13718678,【菁英论坛】选特首内幕 中共40年部署夺香港
n13718938,美任职最长的共和党参议员哈奇去世
n13717459,共和党有望重夺两院？美中期选举五大看点
n13719436,分析：中共清零恶果或在未来几周波及世界
n13714666,【思想领袖】接种疫苗 自然免疫陷双重危险
n13719536,挑战共和党人连任 犹他州民主党挺独立候选人
n13719822,开战后首次 泽连斯基在基辅会晤美内阁官员
n13720183,访基辅后 奥斯汀和布林肯：俄乌战性质已变
n13720147,忧亚太安全 日本副外相访问所罗门
n13720271,政治商业双风险 外资史无前例地逃离中国
n13720167,美即将开放驻基辅大使馆 拜登提名新大使
n13720426,FBI局长：中共间谍威胁规模“史无前例”
n13720436,在京沪被隔离37天 律师吁美发对华旅行警告
n13720347,17中概股被美国列入第五批预摘牌名单
n13720311,【微视频】上海殡仪馆传连轴转 清零逼基层作假
n13720463,俄勒冈州党内初选 拜登支持温和派对抗激进派
n13720605,【秦鹏直播】北京朝阳等地封闭 习露面考察人大
n13720592,马斯克成功收购推特 各方回应一览
n13720596,【远见快评】忧上海饥荒重演 北京疯狂抢菜
n13720721,加州共和党为州长候选人达勒背书
n13720661,美法官拟阻拜登取消非法移民驱逐令
n13720725,亚当斯承认政策“太左”他要走“中间路线”
n13720731,民调：纽约选民首重治安 七成支持修改保释法
n13720715,打击选举犯罪 佛州州长签法案建选举警队
n13720389,【新闻看点 】北京多区封闭 胡叼暗讽习近平？
n13720817,【军事热点】美海军高超音速巡航导弹 六年内成军
n13720944,美英国防部：俄军在对乌战争中已被削弱
n13720984,美召集盟友抗俄 俄批北约通过代理人作战
n13721087,总统任内首次 拜登特赦前特勤局特工等3人
n13721162,推特易主 贝佐斯质问马斯克的中国商业关系
n13721193,美防长：俄罗斯谈核升级“不负责”且危险
n13721192,应对中共威胁 布林肯将公布国家安全战略
n13721254,推特易主 两党反应两极 关注中期选举
n13721327,【秦鹏直播】叶剑英孙女： 有人故意搞乱上海
n13721334,【横河焦点】马斯克收购推特 佛州州长粉丝暴增
n13721303,布雷纳德获参院确认 成为美联储下任副主席
n13721322,【方菲访谈】朗顿：挽救我们的公立学校
n13721380,2022年加州初选介绍：副州长、州务卿和总检查长
n13721396,美第七舰队导弹驱逐舰穿越台海 中共跳脚
n13721508,亚当斯修订财年预算案 总额增至997亿
n13721470,亚潮萌致信州议员 反对“清白法案”
n13721332,【新闻看点】“多维网”关停 中南海内斗延烧？
n13721708,反制中共打压 欧盟批1.3亿欧元援助立陶宛
n13721787,【快讯】美俄换囚 美海军陆战队老兵获释
n13721692,与盖茨合作多年 中共统战团体瞄准美农业部
n13721835,中资收购英国最大晶圆厂 美国议员吁阻止
n13721868,中国一季度外币募资同比大减逾六成
n13721928,消息：长江存储涉违反华为禁令 美国调查
n13721939,布林肯：美持续关注中国-所罗门安全协议
n13721895,【远见快评】大陆今年GDP增速如何超美？
n13722017,马斯克买下推特 言论自由成高度关注点
n13722036,【秦鹏直播】分析中共卫健委专家内部讲话记录
n13722043,国会通过法案挺台湾重返世卫 送拜登签字
n13721879,美中期选举：5月份值得关注的七场关键初选
n13717071,【思想领袖】麦卡洛：疫苗造成的伤害和死亡
n13722114,洛市政府以身作则 拟渐禁用一次性塑料品
n13722119,选举背书搞付费政治？ 共和党团遭质疑
n13722123,美参院两党小组周四启动移民法案磋商
n13722161,专家：中共欲控制电动车供应链 与美争霸
n13722192,霍楚促修法 将已辞职副州长从选票除名
n13722226,纽约上诉法院判选区重划违宪 初选恐延至八月
n13722612,拜登或于下月访韩 韩国经济界呼吁赦免李在镕
n13722695,马斯克收购推特 专家：不压制右派声音就对了
n13722742,皮尤：美国人对中共负面看法再达新高
n13722751,美国制裁后 华为今年首季利润暴跌67%
n13722834,拜登欲增加330亿美元援助乌克兰持久战
